Country,Variable,ModelType,Score_RMSE
Afghanistan,E_GDPPerCapitaConstant,Linear,
Afghanistan,E_GDPPerCapitaConstant,Quadratic,
Afghanistan,E_GDPPerCapitaConstant,Cubic,
Afghanistan,E_GDPPerCapitaConstant,AutoReg1Lags,
Afghanistan,E_GDPPerCapitaConstant,AutoReg2Lags,
Afghanistan,E_GDPPerCapitaConstant,AutoReg3Lags,
Afghanistan,E_GDPPerCapitaConstant,Constant,
Afghanistan,E_PovertyGap685Headcount,Linear,
Afghanistan,E_PovertyGap685Headcount,Quadratic,
Afghanistan,E_PovertyGap685Headcount,Cubic,
Afghanistan,E_PovertyGap685Headcount,AutoReg1Lags,
Afghanistan,E_PovertyGap685Headcount,AutoReg2Lags,
Afghanistan,E_PovertyGap685Headcount,AutoReg3Lags,
Afghanistan,E_PovertyGap685Headcount,Constant,
Afghanistan,E_HealthExpenditurePerCapita,Linear,
Afghanistan,E_HealthExpenditurePerCapita,Quadratic,
Afghanistan,E_HealthExpenditurePerCapita,Cubic,
Afghanistan,E_HealthExpenditurePerCapita,AutoReg1Lags,
Afghanistan,E_HealthExpenditurePerCapita,AutoReg2Lags,
Afghanistan,E_HealthExpenditurePerCapita,AutoReg3Lags,
Afghanistan,E_HealthExpenditurePerCapita,Constant,
Afghanistan,E_ExportsPctOfGDP,Linear,
Afghanistan,E_ExportsPctOfGDP,Quadratic,
Afghanistan,E_ExportsPctOfGDP,Cubic,
Afghanistan,E_ExportsPctOfGDP,AutoReg1Lags,
Afghanistan,E_ExportsPctOfGDP,AutoReg2Lags,
Afghanistan,E_ExportsPctOfGDP,AutoReg3Lags,
Afghanistan,E_ExportsPctOfGDP,Constant,
Afghanistan,E_GiniIndex,Linear,
Afghanistan,E_GiniIndex,Quadratic,
Afghanistan,E_GiniIndex,Cubic,
Afghanistan,E_GiniIndex,AutoReg1Lags,
Afghanistan,E_GiniIndex,AutoReg2Lags,
Afghanistan,E_GiniIndex,AutoReg3Lags,
Afghanistan,E_GiniIndex,Constant,
Afghanistan,E_EducationExpenditurePctOfGDP,Linear,
Afghanistan,E_EducationExpenditurePctOfGDP,Quadratic,
Afghanistan,E_EducationExpenditurePctOfGDP,Cubic,
Afghanistan,E_EducationExpenditurePctOfGDP,AutoReg1Lags,
Afghanistan,E_EducationExpenditurePctOfGDP,AutoReg2Lags,
Afghanistan,E_EducationExpenditurePctOfGDP,AutoReg3Lags,
Afghanistan,E_EducationExpenditurePctOfGDP,Constant,
Afghanistan,E_LaborTaxPctOfProfits,Linear,
Afghanistan,E_LaborTaxPctOfProfits,Quadratic,
Afghanistan,E_LaborTaxPctOfProfits,Cubic,
Afghanistan,E_LaborTaxPctOfProfits,AutoReg1Lags,
Afghanistan,E_LaborTaxPctOfProfits,AutoReg2Lags,
Afghanistan,E_LaborTaxPctOfProfits,AutoReg3Lags,
Afghanistan,E_LaborTaxPctOfProfits,Constant,
Afghanistan,E_ConsumerPriceInflation,Linear,
Afghanistan,E_ConsumerPriceInflation,Quadratic,
Afghanistan,E_ConsumerPriceInflation,Cubic,
Afghanistan,E_ConsumerPriceInflation,AutoReg1Lags,
Afghanistan,E_ConsumerPriceInflation,AutoReg2Lags,
Afghanistan,E_ConsumerPriceInflation,AutoReg3Lags,
Afghanistan,E_ConsumerPriceInflation,Constant,
Afghanistan,E_FemaleUnemployment,Linear,
Afghanistan,E_FemaleUnemployment,Quadratic,
Afghanistan,E_FemaleUnemployment,Cubic,
Afghanistan,E_FemaleUnemployment,AutoReg1Lags,
Afghanistan,E_FemaleUnemployment,AutoReg2Lags,
Afghanistan,E_FemaleUnemployment,AutoReg3Lags,
Afghanistan,E_FemaleUnemployment,Constant,
Afghanistan,E_ImportsPctOfGDP,Linear,
Afghanistan,E_ImportsPctOfGDP,Quadratic,
Afghanistan,E_ImportsPctOfGDP,Cubic,
Afghanistan,E_ImportsPctOfGDP,AutoReg1Lags,
Afghanistan,E_ImportsPctOfGDP,AutoReg2Lags,
Afghanistan,E_ImportsPctOfGDP,AutoReg3Lags,
Afghanistan,E_ImportsPctOfGDP,Constant,
Afghanistan,P_GovernmentEffectiveness,Linear,
Afghanistan,P_GovernmentEffectiveness,Quadratic,
Afghanistan,P_GovernmentEffectiveness,Cubic,
Afghanistan,P_GovernmentEffectiveness,AutoReg1Lags,
Afghanistan,P_GovernmentEffectiveness,AutoReg2Lags,
Afghanistan,P_GovernmentEffectiveness,AutoReg3Lags,
Afghanistan,P_GovernmentEffectiveness,Constant,
Afghanistan,P_ControlOfCorruption,Linear,
Afghanistan,P_ControlOfCorruption,Quadratic,
Afghanistan,P_ControlOfCorruption,Cubic,
Afghanistan,P_ControlOfCorruption,AutoReg1Lags,
Afghanistan,P_ControlOfCorruption,AutoReg2Lags,
Afghanistan,P_ControlOfCorruption,AutoReg3Lags,
Afghanistan,P_ControlOfCorruption,Constant,
Afghanistan,P_RuleOfLaw,Linear,
Afghanistan,P_RuleOfLaw,Quadratic,
Afghanistan,P_RuleOfLaw,Cubic,
Afghanistan,P_RuleOfLaw,AutoReg1Lags,
