Metric,Value,mtry,ntree,nodesize,run
MAE,0.13,14,100,3,1
RMSE,0.2,14,100,3,1
MAE_PctOfMean,2.42,14,100,3,1
RMSE_PctOfMean,3.56,14,100,3,1
MAPE,2.83,14,100,3,1
Adj_R2,95.94,14,100,3,1
MeanActual,5.56,14,100,3,1
MeanPredicted,5.57,14,100,3,1
StDevActual,1.1,14,100,3,1
StDevPredicted,1.06,14,100,3,1
N_Obs,141,14,100,3,1
N_Params,27,14,100,3,1
MAE,0.13,14,100,3,2
RMSE,0.19,14,100,3,2
MAE_PctOfMean,2.43,14,100,3,2
RMSE_PctOfMean,3.34,14,100,3,2
MAPE,2.77,14,100,3,2
Adj_R2,96.43,14,100,3,2
MeanActual,5.56,14,100,3,2
MeanPredicted,5.56,14,100,3,2
StDevActual,1.1,14,100,3,2
StDevPredicted,1.06,14,100,3,2
N_Obs,141,14,100,3,2
N_Params,27,14,100,3,2
MAE,0.14,14,100,3,3
RMSE,0.2,14,100,3,3
MAE_PctOfMean,2.53,14,100,3,3
RMSE_PctOfMean,3.61,14,100,3,3
MAPE,2.92,14,100,3,3
Adj_R2,95.83,14,100,3,3
MeanActual,5.56,14,100,3,3
MeanPredicted,5.56,14,100,3,3
StDevActual,1.1,14,100,3,3
StDevPredicted,1.06,14,100,3,3
N_Obs,141,14,100,3,3
N_Params,27,14,100,3,3
MAE,0.14,14,100,3,4
RMSE,0.2,14,100,3,4
MAE_PctOfMean,2.47,14,100,3,4
RMSE_PctOfMean,3.55,14,100,3,4
MAPE,2.85,14,100,3,4
Adj_R2,95.96,14,100,3,4
MeanActual,5.56,14,100,3,4
MeanPredicted,5.56,14,100,3,4
StDevActual,1.1,14,100,3,4
StDevPredicted,1.06,14,100,3,4
N_Obs,141,14,100,3,4
N_Params,27,14,100,3,4
MAE,0.14,14,100,3,5
RMSE,0.2,14,100,3,5
MAE_PctOfMean,2.55,14,100,3,5
RMSE_PctOfMean,3.63,14,100,3,5
MAPE,2.96,14,100,3,5
Adj_R2,95.78,14,100,3,5
MeanActual,5.56,14,100,3,5
MeanPredicted,5.55,14,100,3,5
StDevActual,1.1,14,100,3,5
StDevPredicted,1.06,14,100,3,5
N_Obs,141,14,100,3,5
N_Params,27,14,100,3,5
MAE,0.14,9,100,3,1
RMSE,0.19,9,100,3,1
MAE_PctOfMean,2.47,9,100,3,1
RMSE_PctOfMean,3.5,9,100,3,1
MAPE,2.87,9,100,3,1
Adj_R2,96.09,9,100,3,1
MeanActual,5.56,9,100,3,1
MeanPredicted,5.56,9,100,3,1
StDevActual,1.1,9,100,3,1
StDevPredicted,1.05,9,100,3,1
N_Obs,141,9,100,3,1
