mtry,ntree,nodesize,Adj_R2,MAE,MAE_PctOfMean,MAPE,MeanActual,MeanPredicted,N_Obs,N_Params,RMSE,RMSE_PctOfMean,StDevActual,StDevPredicted
7,500,3,96.35,0.13,2.38,2.75,5.56,5.56,141,27,0.19,3.37,1.1,1.05
9,1500,3,96.33,0.13,2.37,2.75,5.56,5.56,141,27,0.19,3.39,1.1,1.05
7,1000,3,96.32,0.13,2.39,2.76,5.56,5.55,141,27,0.19,3.39,1.1,1.05
7,1500,3,96.31,0.13,2.39,2.76,5.56,5.55,141,27,0.19,3.39,1.1,1.05
9,500,3,96.34,0.13,2.39,2.76,5.56,5.55,141,27,0.19,3.38,1.1,1.05
9,1000,3,96.28,0.13,2.38,2.76,5.56,5.56,141,27,0.19,3.41,1.1,1.05
5,1000,3,96.28,0.13,2.41,2.79,5.56,5.55,141,27,0.19,3.41,1.1,1.04
5,1500,3,96.31,0.13,2.41,2.79,5.56,5.55,141,27,0.19,3.4,1.1,1.04
9,100,3,96.23,0.13,2.42,2.79,5.56,5.56,141,27,0.19,3.43,1.1,1.05
9,500,5,96.2,0.13,2.41,2.8,5.56,5.56,141,27,0.19,3.44,1.1,1.05
9,1000,5,96.19,0.13,2.41,2.8,5.56,5.56,141,27,0.19,3.45,1.1,1.05
9,1500,5,96.2,0.13,2.4,2.8,5.56,5.56,141,27,0.19,3.45,1.1,1.05
7,100,5,96.22,0.13,2.42,2.81,5.56,5.55,141,27,0.19,3.44,1.1,1.05
7,1000,5,96.24,0.13,2.42,2.81,5.56,5.55,141,27,0.19,3.43,1.1,1.05
14,1000,3,96.09,0.13,2.42,2.81,5.56,5.56,141,27,0.19,3.49,1.1,1.05
14,1500,3,96.09,0.13,2.42,2.81,5.56,5.56,141,27,0.19,3.5,1.1,1.05
5,500,3,96.29,0.14,2.44,2.82,5.56,5.55,141,27,0.19,3.41,1.1,1.04
7,100,3,96.17,0.14,2.44,2.82,5.56,5.55,141,27,0.19,3.46,1.1,1.05
14,500,3,96.08,0.14,2.42,2.82,5.56,5.56,141,27,0.2,3.5,1.1,1.06
7,1500,5,96.18,0.14,2.43,2.83,5.56,5.55,141,27,0.19,3.45,1.1,1.04
4,500,3,96.19,0.14,2.46,2.84,5.56,5.54,141,27,0.19,3.45,1.1,1.04
