ObservationType,Country,CountryCode,RowID,Continent,Region,Year,HappinessScore,PredictedHappinessScore,CountryRank,P_ControlOfCorruption,P_PoliticalStability,P_RuleOfLaw,P_VoiceAndAccountability,P_GovernmentEffectiveness,P_CorruptionPerceptionIndex,P_ElectoralDemocracyIndex,P_FreedomOfExpression,P_FreedomOfAssociation,P_PopulationPctWithSuffrage,P_CleanElectionsIndex,P_ElectedOfficialsIndex,S_TotalPopulation,S_PopulationAged14OrLess,S_PopulationAged15To64,S_PopulationAged65OrMore,S_NetMigration,S_UrbanPopulation,S_UrbanPopPctOfTotal,S_LaborParticipRateFemale,S_LaborForcePctFemale,S_AccessToCleanFuelsPctOfTotal,S_AccessToCleanFuelsPctOfRural,S_AccessToCleanFuelsPctOfUrban,S_AccessToElectricityPctOfTotal,S_AccessToElectricityPctOfRural,S_AccessToElectricityPctOfUrban,S_CompulsoryEducationYears,S_PrimaryEducationYears,S_SecondaryEducationYears,S_LowerSecEduPctOfTotal,S_UpperSecEduPctOfTotal,E_GDPPerCapitaConstant,E_GDPPerCapitaCurrent,E_GiniIndex,E_PovertyGap215PctOfPop,E_PovertyGap365PctOfPop,E_PovertyGap685PctOfPop,E_PovertyGap215Headcount,E_PovertyGap365Headcount,E_PovertyGap685Headcount,E_LaborTaxPctOfProfits,E_ProfitTaxPctOfProfits,E_TotalTaxPctOfProfits,E_ImportsPctOfGDP,E_ExportsPctOfGDP,E_ConsumerPriceInflation,E_FemaleUnemployment,E_MaleUnemployment,E_TotalUnemployment,E_TotalUnemploymentLocalEst,E_YouthUnemployment,E_YouthUnemploymentLocalEst,E_HealthExpenditurePctOfGDP,E_HealthExpenditurePerCapita,E_EducationExpenditurePctOfGDP,E_MilitaryExpenditurePctOfGDP,V_CO2EmissionsKgPerConstantGDP,V_CO2EmissionsKgPerGDP,V_CO2EmissionsKt,V_CO2PerCapita,V_AgriculturalLandPctOfTotal,V_ArableLandPctOfTotal,V_FertilizerUseKgPerHectare,V_ForestAreaPctOfTotal,V_TotalLandArea,H_TotalSuicideRate,H_FemaleSuicideRate,H_MaleSuicideRate,H_AirPollutionMeanExpPctOfPop,H_AirPollutionOverExpPctOfPop
Historical data,Denmark,DNK,Denmark_2005,Europe,Europe & Central Asia,2005,8.01893424987793,7.873143729686738,1,2.27820563316345,1.07349538803101,1.93610906600952,1.73960888385773,2.11490678787231,95,0.919,0.989,0.929,1,0.961,1,5419432,1012494,3590112,816825,11693,4652908,85.856,75.528,46.8229828069989,100,100,100,100,100,100,9,6,6,99.7318801879883,82.2784805297852,51483.273786293,34150.1594558945,25.2,0.1,0.2,0.3,0.3,0.3,0.5,1.4,27.9,32.6,41.9476153409526,47.452125515225,1.81781458291257,5.28,4.437,4.83,4.83,8.596,8.61,9.0905695,3109.04909824196,8.08557033538818,1.31148849991359,0.179928610986147,0.271252435976205,50201.9,9.26331394138722,67.675,58.3,137.117066895369,14.476125,40000,14.8,9.5,20.3,13.09783363,97.1396754720324
Historical data,Netherlands,NLD,Netherlands_2005,Europe,Europe & Central Asia,2005,7.463979244232178,7.41520287799835,2,1.96084868907928,0.98810088634491,1.7526228427887,1.66602003574371,1.93773639202118,86,0.862,0.957,0.871,1,0.952,1,16319868,2986837,11016609,2316422,13610,13485107,82.63,68.703,44.6453778356802,100,100,100,100,100,100,13,6,6,88.9880065917969,64.9544906616211,49467.4354267059,37625.5617084958,29,0.1,0.1,0.2,0.1,0.2,0.5,18,29.5,47.7,57.1745724591247,65.632085215917,1.68813017869622,6.91,5.036,5.87,5.87,11.871,11.85,9.09666824,3425.68307027304,5.10939979553223,1.3964852790883,0.208008894534736,0.273475427112472,167926,10.2896665585776,57.396327014218,32.9087677725119,337.806480648065,10.8557464454976,33760,9.8,6.3,13.4,15.30183547,100
Historical data,Canada,CAN,Canada_2005,Americas,North America,2005,7.41804838180542,7.373107221126558,3,1.86970067024231,0.828725039958954,1.65014719963074,1.50687944889069,1.88245940208435,84,0.825,0.93,0.854,1,0.929,1,32243753,5703602,22350146,4190005,204710,25834340,80.122,73.731,46.6524631466188,100,100,100,100,100,100,10,6,6,83.6178283691406,67.7451324462891,44680.7964889693,36327.2286544972,33.6,0.2,0.2,0.4,0.2,0.5,1,12.4,27.3,47.5,32.9024256932286,36.8567073235071,2.21355203439764,6.46,7.017,6.76,6.76,12.416,12.4,9.03540611,3285.1489261986,4.76588010787964,1.10710542420811,0.381093656286637,0.468727418260476,549032.7,17.0275680997804,6.87695957544345,4.41867183308628,70.6381764943457,38.7662262048566,8965590,12.2,6.2,18.2,9.020255828,19.6026822515034
Historical data,Sweden,SWE,Sweden_2005,Europe,Europe & Central Asia,2005,7.376315593719482,7.319719111124673,4,2.01279759407043,1.29990482330322,1.79775130748749,1.58447277545929,1.8879017829895,92,0.917,0.975,0.938,1,0.962,1,9029572,1570855,5902015,1556703,39103,7613645,84.319,75.874,47.46346150935,100,100,100,100,100,100,9,6,6,89.1418304443359,79.0401763916016,45440.2967492535,34244.4650156257,26.8,0.8,1,1.2,1.1,1.3,1.8,36.9,16.6,54.1,38.7359970795797,45.01548061554,0.453170852576176,7.37,7.594,7.49,7.49,21.907,21.91,8.1508379,2796.84203194381,6.5064001083374,1.40698751486224,0.122061455029303,0.161968035875179,50082.6,5.54650873817718,7.85879696970366,6.59670540337708,88.1247441479662,69.0283809802973,407339.7,15.7,10.4,21.1,7.30670874,3.99581018561098
Historical data,Australia,AUS,Australia_2005,Oceania,East Asia & Pacific,2005,7.340688228607178,7.2891233851114885,5,1.94266772270203,0.8917076587677,1.71280241012573,1.50705575942993,1.74618124961853,88,0.875,0.968,0.888,1,0.95,1,20176844,3985940,13587612,2603292,132109,17065978,84.582,68.147,44.8937185993746,100,100,100,100,100,100,10,7,6,90.8543014526367,65.0338516235352,42704.4424723347,33018.163222623,33.1,0.4,0.6,0.7,0.7,0.7,1.2,23.7,26.3,52.1,20.9480542227162,18.2345398442686,2.69183168316831,5.22,4.877,5.03,5.04,10.603,10.62,7.97402954,2842.85071444019,4.8967399597168,1.80249267959937,0.428022754239835,0.553588428346051,368801.9,18.2784730852853,53.3993725837314,3.43673118727464,83.9322021059011,17.0105437173763,7682300,11.2,5.1,17.3,6.904730947,33.4924203994519
Historical data,Belgium,BEL,Belgium_2005,Europe,Europe & Central Asia,2005,7.2622904777526855,7.1219582897822065,6,1.37716245651245,0.79377418756485,1.25764083862305,1.42076218128204,1.70650970935822,74,0.878,0.975,0.884,1,0.95,1,10478617,1798169,6881331,1799117,46280,10206487,97.403,59.426,44.1555811414624,100,100,100,100,100,100,12,6,6,33.8746490478516,14.0161895751953,46342.1866093314,33177.8909458158,29.3,0.1,0.2,0.3,0.2,0.3,0.5,49.5,9.8,60.1,70.2462217485879,74.2828289213953,2.78143263670025,9.51,7.597,8.44,8.44,21.471,21.48,9.22374916,3069.84428843564,5.79585981369019,1.09664118158572,0.228500282988192,0.319164433080375,110960.2,10.5892027545238,45.6737120211361,27.8401585204756,332.397390272835,22.4103368560106,30280,20.7,11.4,30.3,15.83183972,98.9978822682005
Historical data,Venezuela,VEN,Venezuela_2005,Americas,Latin America & Caribbean,2005,7.169620990753174,6.702623058001202,7,-1.03074622154236,-1.24433243274689,-1.25851392745972,-0.637349963188171,-0.919886887073517,23,0.477,0.646,0.671,1,0.567,1,26668785,8473850,16820471,1374465,-18400,23456263,87.954,52.565,38.93763565343,97.1,77.7,99.3,98.7767562866211,92.9512347540181,99.5746078491211,14,6,5,48.0999984741211,35.0999984741211,11368.363975148317,13543.3654813626,49.5,8.6,13.2,25.3,14.4,25.7,51.2,17.7,14.4,50.2,20.468677012517,39.6586527436252,11.648141749669005,11.65,10.038,10.66,10.66,18.262,18.25,6.05508995,819.979801032027,5.00603008270264,1.83171374924625,0.3147980156858221,0.408030118359784,147374.4,5.5261010203502,24.4827390737487,3.01003344481605,132.203389830508,54.7905447536988,882050,4.4,1.4,7.3,20.93139471,99.9999999999773
Historical data,Spain,ESP,Spain_2005,Europe,Europe & Central Asia,2005,7.152785778045654,6.934714482148488,8,1.32761585712433,0.19302661716938,1.11754953861237,1.13140439987183,1.50157427787781,70,0.876,0.958,0.897,1,0.953,1,43653155,6316175,30062646,7274334,632974,33727737,77.263,58.85,41.4612162821273,100,100,100,100,100,100,10,6,6,62.5247802734375,40.3894195556641,37962.4176178036,27606.9340516269,32.4,0.6,0.7,1.1,0.7,1.1,2.6,36.3,23.4,60.4,29.783028542406,24.9792690409411,3.36881409750382,11.99,7.134,9.15,9.15,19.639,19.63,7.73191881,2152.13715984582,4.14432001113892,1.38717775355122,0.211503848681879,0.290839881618837,350499.8,8.02919743143422,58.4343505179427,25.8730890220201,142.139549291412,35.7042517381635,499090,8,4,12.2,12.34932779,74.1582474024899
Historical data,France,FRA,France_2005,Europe,Europe & Central Asia,2005,7.093392848968506,6.915689960002899,9,1.3575382232666,0.399723917245865,1.40783047676086,1.476771235466,1.66645479202271,75,0.877,0.964,0.906,1,0.942,1,63188395,11593672,41120722,10474002,155943,48737209,77.13,65.08,46.7870814336197,100,100,100,100,100,100,10,5,7,74.7016830444336,56.5906105041504,41638.0317796772,30494.2141075076,29.8,0,0,0.1,0,0.1,0.3,51.8,6.8,68.3,26.947655734595,27.0330510418171,1.74586936380481,9.84,7.807,8.49,8.88,20.219,21.3,10.2148447,3135.55593280367,5.47005081176758,2.02370691892637,0.144739738746632,0.197633486157976,380816.1,6.02667784171445,53.675507755357,33.5628984744967,192.46256312032,28.9531500830051,547557,19.1,11.1,27.7,14.89539999,99.60444501196
Historical data,Saudi Arabia,SAU,Saudi Arabia_2005,Asia,Middle East & North Africa,2005,7.079644203186035,6.9523409616152465,10,-0.103524342179298,-0.240614011883736,-0.022657472640276,-1.53631925582886,-0.391905188560486,34,0.018,0.111,0.027,0,0,0,24397644,8279710,15502282,615652,481349,19756968,80.979,19.001,13.5669740000449,100,100,100,100,100,100,9,6,6,48.7981414794922,34.1683006286621,43437.8679089732,46012.7616533981,33.77,0.05,0.7,7.83,0.47,6.45,17.41,12.4,2.5,14.9,24.9033260246812,57.050727121086,0.479230397826103,14.07,4.729,6.05,6.05,34.4,28.814,3.41867018,1573.85748008185,5.43092012405396,7.73059887481948,0.297507702421397,0.280859044650026,315293.2,12.9231002796827,80.8102563625453,1.62814173206369,95.9142857142857,0.454484134921779,2149690,3.7,1.1,5.7,60.18568335,100
